image_id,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,cam_fov
0,0.7903193,-0.98944944,-2.7976182,0.5789926052093506,-0.367811769247055,-0.5442569851875305,0.4829766154289245,65.79669656729648
1,1.9610498,-0.93966293,-2.506783,-0.585828423500061,-0.1950564533472061,0.475509762763977,0.6266167163848877,68.9320790665183
2,3.4159706,-1.2221831,-1.935485,-0.6954241394996643,-0.0989969819784164,-0.3790394067764282,0.6024234294891357,112.0922540186308
3,6.3181667,-0.96257955,0.09258542,-0.6818764805793762,-0.0776750519871711,0.2984106838703155,0.6632964015007019,65.62850087251594
4,1.842101,-0.8317776,-2.3780816,-0.5051607489585876,0.2567825615406036,-0.6015552878379822,0.563033401966095,100.78616139762384
5,6.596309,-1.7753539,0.6568888,-0.2054599970579147,-0.4363698959350586,0.3240823149681091,0.8138415813446045,86.46751146193549
6,0.34064922,0.8964211,-3.5335636,-0.5489834547042847,-0.3351980149745941,0.564296305179596,0.5175221562385559,128.73628227055596
7,7.139401,0.9816122,-2.07783,0.1538133174180984,-0.3783576488494873,0.0849958509206771,0.908824861049652,95.7923746459731
8,5.288719,0.50917506,-1.2718076,-0.0562342070043087,-0.6834403872489929,-0.0533415265381336,0.7258799076080322,108.9995866968065
9,3.2832272,0.87632716,-1.7691305,0.0951809957623481,0.6816278100013733,-0.102782979607582,0.7181641459465027,115.229990581957
